,index,company_name,position,location,date_posted,Number of applicants,number of views,job_type,employees,sector,descriptions,search_keyword
83,84,Beckman Coulter Diagnostics,European Sales Enablement Senior Analyst H F,"Madrid, Community of Madrid, Spain",Posted 2 days ago,4 applicants,Number of views 53 views,Full time,10001+ employees,Medical Device,Wondering what s within Beckman Coulter Take a closer look Join a team where you can be heard be supported and always be yourself At Beckman Coulter a Danaher company we re building a culture that celebrates backgrounds experiences and perspectives of all our associates At first glance you ll see we are dedicated to advancing and optimizing the laboratory to move science and health care forward for more than 80 years Look again and you ll see we are invested in you and you ll have the opportunity to build a meaningful career be creative and try new things with the support you need to be successful You ll find the Danaher Business System which makes everything possible You ll also see a company that investors trust our culture of continuous improvement has helped us outperform the S P 500 by more than 5 000 over the past 25 years And no matter where you look at Beckman Coulter at the heart of what we do you ll witness our shared purpose helping realize life s potential in action Our work helps improve millions of lives We hope you ll see yourself here too What you find at Beckman Coulter and within yourself might just change the world The European Sales Enablement Senior Analyst for Beckman Coulter Diagnostics is responsible for managing the business analytical infrastructure behind SFDC Power BI Data Sets and Data Flows to provide stable data bases on which creating automatized data insights for EU Sales Organization In this role you will have the opportunity Develop and maintain a solid data infrastructure in support of any development of Power BI Dashboards and or Salesforce com Reports DashboardsCreate Scripts and perform UAT and Validations for Power BI Data Flows Data Sets Reports and new implementations updates in Salesforce com and Oracle CPQ CloudCreation of Reports in Power BI with meaningful business insights to be used for Monthly Ops Review with Senior Management and or in support of Sales Organization to properly report Funnel Management KPIsUser Management in BI and Marketing Content Management ToolsCoordination of new users creation and role assignment in SFDC in conjunction with EU IT Team and Regional Process OwnersEvaluation for integration of Data Sets Data flows for higher quality of Data Insights at the best possible performance in terms of User ExperienceCreation and maintenance of Data Queries in line with the final Business Reporting Objectives integrating a large variety of data sources OBIEE Salesforce com Excel CSV SharePoint Lists and Folders SAP EPM and or any other relevant for business purposes Document all data interactions of all European Reporting SolutionsTask Project Management via Monday com The essential requirements of the job include Bachelor s degree in Engineering Economics or IT related fields with 5 years exp OR Master s degree in a related field with 3 years exp Minimum 4 years business IT analysis experience with at least 2 years of revenue and profitability analysis experience ideally acting as Business Partner Business Analyst of a Sales Organization AND with at least 1 year of technical experience in Salesforce com Proficient in data modeling in Excel including VBA SQL Power BI Salesforce com and or other BI tools Ability to work cross functionally across the matrix to drive teams to success lead without reporting authority Comfortable in presenting data insights and technicalities to the Senior Business Management Some international domestic travel flexibility required 5 10 Proficient in English is a must Any other European language is a plus Previous Experience in the Diagnostics Industry is a plus Certification in one of the main Project Management Methodologies is a plus Role based in Madrid or Barcelona Beckman Coulter a Danaher company offers a broad array of comprehensive competitive benefit programs that add value to associates and their families lives Whether it s a health care program or paid time off our programs contribute to life beyond the job Check out our benefits at danaherbenefitsinfo com We believe you ll like what you see At Beckman Coulter we re driven by a sense of wonder for what we can create and what we can become Here you ll accelerate your career while driving innovation that improves lives You ll work hard and try new things with guidance from committed leaders powerful DBS tools and the support of a global organization As part of the Danaher family of 67 000 associates across the globe your possibilities for growth and development are unparalleled We believe that creativity and innovation thrive when the most diverse set of voices are heard and that s why we re taking concrete steps to ensure that we re fostering an inclusive and engaging workplace for our team If you d like to learn more read stories from our associates on our Careers Blog or contact one of our recruiters When you join us you ll also be joining Danaher s global organization where 69 000 people wake up every day determined to help our customers win As an associate you ll try new things work hard and advance your skills with guidance from dedicated leaders all with the support of powerful Danaher Business System tools and the stability of a tested organization At Danaher we value diversity and the existence of similarities and differences both visible and not found in our workforce workplace and throughout the markets we serve Our associates customers and shareholders contribute unique and different perspectives as a result of these diverse attributes If you ve ever wondered what s within you there s no better time to find out,data analyst
84,85,Michael Page,Data Engineer Final Company,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,1 applicant,Number of views 20 views,Entry level,"5,001-10,000 employees",Staffing & Recruiting,Data Engineer Final Company Multinational Financial Services Final Company Data Engineer About Our Client Multinational Financial Services Company Final Company Job Description The Data Engineer will have the following responsibilities Understand business data to propose accurate and useful reporting capabilities for the business stakeholders Interpret data analyze results using statistical techniques and provide automated checks to ensure quality and accuracy Develop and implement databases data collection systems data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases data systems Identify analyze and interpret trends or patterns in complex data sets Filter and clean data by reviewing computer reports printouts and performance indicators to locate and correct code problems Work with management to prioritize business and information needs Locate and define new process improvement opportunities Include technological change into the projects services and products Share expertise priorities and ideas with peers to find the best solutions Dictate technical standards including coding standards tools or platforms Provide code templates or libraries to smooth development Include technological improvement proactively in all projects The Successful Applicant Tha Data Engieer Will Have The Following Skills Minimum 3 years of experience in similar role Expertise on ETL flows Data Factory Python Scala SQL in Cloud Environments Experience in Business Intelligence Data Warehouse Reporting Data Quality Knowledge of Microsoft Azure Big Data Infrastructures and Power BI Knowledge of legacy ETL processes with Power center and Reporting with SAP BO is a plus Technical Requirements Programming skills mainly with Python and or Scala in an Azure Databricks cluster C is a plus Data management skill with SQL SQL Server Oracle and HIVE in a Datalake Azure Data Factory Azure Analysis Services and Power Center is a plus Fluent English C1 Competences Excellent verbal and written communication skills Critical thinking and problem solving Analytical thinker Adaptability Innovation and research What s On Offer Interesting professional opportunity Contact Maria Mosquera Quote job ref JN 042021 2559126,data analyst
85,86,McKinsey Company,Business Analyst,"Madrid, Community of Madrid, Spain",Posted 2 weeks ago,73 applicants,Number of views 704 views,Entry level,10001+ employees,Management Consulting,Qualifications Completing your undergraduate degree Summer 2021Outstanding record of academic achievementDemonstrated aptitude for analyticsProven record of leadership in a work setting and or through extracurricular activitiesExceptional analytical and quantitative problem solving skillsAbility to work collaboratively in a team environmentAbility to work effectively with people at all levels in an organizationAbility to communicate complex ideas effectively both verbally and in writing in English and the local office language s Willingness to travel What You ll Do You ll work in teams of typically 3 5 consultants playing an active role in all aspects of the client engagement This includes gathering and analyzing information formulating and testing hypotheses and developing and communicating recommendations You ll also have the opportunity to present results to client management and implement recommendations in collaboration with client team members You ll gain new skills and build on the strengths you bring to the firm Business Analysts receive exceptional formal and on the job training as well as frequent coaching and mentoring from colleagues on their teams This support includes a Partner from your local office or practice assigned to you to help guide your career as well as several weeks of formal training in your first two years as a Business Analyst Additionally you ll receive guidance and support from your office in the selection of client projects helping you to develop your skills and build your network We view the Business Analyst program as the start of a rewarding challenging and highly flexible career with McKinsey During the two year employment you will serve as a BA on multiple client engagements and work with a number of colleagues and clients in a range of industry and functional areas For all BAs you will likely intersect with many elements of our firm s work including Digital Implementation Analytics either by collaborating on teams or working with colleagues from these groups Following your BA tenure assuming good performance you may choose to pursue graduate school with support from the firm or even be eligible to move into a post graduate school role Who You ll Work With You will be based out of our Madrid or Barcelona offices When you join McKinsey as a Business Analyst BA you are joining a firm that will challenge you and invest in your professional development In this role you will work on the best teams to help the best organizations in the world solve their most difficult problems You will also work with many experts from data scientists and researchers to software and app designers,data analyst
86,87,JLL Technologies,Principal Data Engineer,"Madrid, Community of Madrid, Spain",Posted 1 day ago,1 applicant,Number of views 55 views,Associate,"1,001-5,000 employees",Information Technology & Services,Principal Data Engineer About JLL And JLL Technologies JLL is a leading professional services firm that specializes in real estate and investment management Our vision is to reimagine the world of real estate creating rewarding opportunities and amazing spaces where people can achieve their ambitions In doing so we will build a better tomorrow for our clients our people and our communities JLL Technologies is a specialized group within JLL At JLL Technologies our mission is to bring technology innovation to commercial real estate We deliver unparalleled digital advisory implementation and services solutions to organizations globally Our goal is to leverage technology to increase the value and liquidity of the world s buildings while enhancing the productivity and the happiness of those that occupy them What This Job Involves JLL Technologies Enterprise Data team is a newly established central organization that oversees JLL s data strategy We are seeking data professionals to work with our colleagues at JLL around the globe in providing solutions developing new products building enterprise reporting analytics capability to reshape the business of Commercial Real Estate using the power of data and we are just getting started on that journey We are looking for a Principal Da ta Engineer who is self starter to work in a diverse and fast paced environment that can join our Enterprise Data team This is an individual contributor role that is responsible for designing and developing of data solutions that are strategic for the business and built on the latest technologies and patterns This a global role that requires partnering with the broader JLLT team at the country regional and global level by utilizing in depth knowledge of data infrastructure technologies and data engineering experience As a Distinguished Data Engineer at JLL Technologies you will Develop robust and scalable APIs Systems and Component architectures Lead and support a small team of Data Engineers to design build and maintain application systems Contributes to the design of information infrastructure and data management processes to move the organization to a more sophisticated agile and robust target state data architecture Develop systems that ingest cleanse and normalize diverse datasets develop data pipelines from various internal and external sources and build structure for previously unstructured data Develop and operate modern data architecture approaches to meet key business objectives and provide end to end data solutions Develop good understanding of how data will flow stored through an organization across multiple applications such as CRM Broker Sales tools Finance HR etc Design develop data management and data persistence solutions for application use cases leveraging relational non relational databases and enhancing our data processing capabilities Develop POCs to influence platform architects product managers and software engineers to validate solution proposals and migrate What We Are Looking For Bachelor s degree in Computer Science Mathematics PhD in Computer Science highly desirable 10 years overall work experience with at least 5 years of Solution Architecture experience Statistics or a quantitative discipline in science business or social science Minimum of 6 years of experience as a data developer using Python Kafka Spark Streaming Azure SQL Server Cosmos DB Mongo DB Azure Event Hubs Azure Data Lake Storage Azure Search etc Excellent technical analytical and organizational skills Hands on engineering lead who is curious about technology should be able to quickly adopt to change and one who understands the technologies supporting areas such as Cloud Computing AWS Azure preferred etc Micro Services Streaming Technologies Network Security etc Hands on Experience for building Data Pipelines in Cloud Design develop data management and data persistence solutions for application use cases leveraging relational non relational databases and enhancing our data processing capabilities Experience handling un structured data working in a data lake environment leveraging data streaming and developing data pipelines driven by events queues Team player Reliable self motivated and self disciplined individual capable of executing on multiple projects simultaneously within a fast paced environment working with cross functional teams Someone who is genuinely excited about data infrastructure and operations with a familiarity working in cloud environments and Working with data excites you you have created data architecture you can build and operate data pipelines and maintain data storage all within distributed systems What You Can Expect From Us You ll join an entrepreneurial inclusive culture One where we succeed together across the desk and around the globe Where like minded people work naturally together to achieve great things Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career recognition well being benefits and pay Join us to develop your strengths and enjoy a fulfilling career full of varied experiences Keep those ambitions in sights and imagine where JLL can take you LI JLL Privacy Notice Jones Lang LaSalle JLL together with its subsidiaries and affiliates is a leading global provider of real estate and investment management services We take our responsibility to protect the personal information provided to us seriously Generally the personal information we collect from you are for the purposes of processing in connection with JLL s recruitment process We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons We will then delete it safely and securely For more information about how JLL processes your personal data please view our Candidate Privacy Statement For additional details please see our career site pages for each country For employees in the United States please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here Jones Lang LaSalle JLL is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities If you need a reasonable accommodation because of a disability for any part of the employment process including the online application and or overall selection process you may email us at Accommodation Reques am jll com This email is only to request an accommodation Please direct any other general recruiting inquiries to our Contact Us page I want to work for JLL,data analyst
87,88,Cognizant,Data Engineer Azure,"Madrid, Community of Madrid, Spain",Posted 1 day ago,0 applicants,Number of views 10 views,Entry level,10001+ employees,Information Technology & Services,Cognizant Top Employer 2021 in Spain is expanding its capabilities on Artificial Intelligence and Analytics practice for Europe and we are seeking a passionate and eager Data Engineer who brings experience and the will to provide solutions to global clients The Role Guarantee qualitative access to Azure data lake sources by integrating hardware software or subsystem components into a system Create documents e g pre consulting deck recommendation deck etc to be used during engagements Analyze technology landscape process tools based on project objectives Develop and execute systematic testing procedures Good experience to understand the requirement and design solution Prepare at low level design and common frameworks Identify and conduct design of complex sub components modules in collaboration with project team architects and client Requirements 3 yrs in Azure Data Lake3 yrs in Azure Spark Preferably on Databricks 3 yrs in Python Scala Expertise in Data Pipelines Data Modelling and Data Quality Expertise in Data Streaming Kafkas Employee Status Full Time Employee Shift Day Job Travel No Job Posting Jul 20 2021 About Cognizant Cognizant Nasdaq 100 CTSH is one of the world s leading professional services companies transforming clients business operating and technology models for the digital era Our unique industry based consultative approach helps clients envision build and run more innovative and efficient businesses Headquartered in the U S Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world Learn how Cognizant helps clients lead with digital at www cognizant com or follow us Cognizant,data analyst
88,89,Cognizant,Data Engineer Azure,"Madrid, Community of Madrid, Spain",Posted 1 day ago,0 applicants,Number of views 8 views,Entry level,10001+ employees,Information Technology & Services,Cognizant Top Employer 2021 in Spain is expanding its capabilities on Artificial Intelligence and Analytics practice for Europe and we are seeking a passionate and eager Data Engineer who brings experience and the will to provide solutions to global clients The Role Guarantee qualitative access to Azure data lake sources by integrating hardware software or subsystem components into a system Create documents e g pre consulting deck recommendation deck etc to be used during engagements Analyze technology landscape process tools based on project objectives Develop and execute systematic testing procedures Good experience to understand the requirement and design solution Prepare at low level design and common frameworks Identify and conduct design of complex sub components modules in collaboration with project team architects and client Requirements 3 yrs in Azure Data Lake3 yrs in Azure Spark Preferably on Databricks 3 yrs in Python Scala Expertise in Data Pipelines Data Modelling and Data Quality Expertise in Data Streaming Kafkas Employee Status Full Time Employee Shift Day Job Travel No Job Posting Jul 20 2021 About Cognizant Cognizant Nasdaq 100 CTSH is one of the world s leading professional services companies transforming clients business operating and technology models for the digital era Our unique industry based consultative approach helps clients envision build and run more innovative and efficient businesses Headquartered in the U S Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world Learn how Cognizant helps clients lead with digital at www cognizant com or follow us Cognizant,data analyst
89,90,Grupo Crit,Data Engineer,"Madrid, Community of Madrid, Spain",Posted 3 weeks ago,0 applicants,Number of views 3 views,Mid Senior level,"1,001-5,000 employees",Human Resources,En Crit Consultoría seleccionamos un a Data Engineer para trabajar en una importante empresa especializada en soluciones tecnológicas ubicada en Alcobendas Madrid Si estás buscando una nueva oportunidad profesional no dudes en inscribirte Te esperamos Cuentas con estas habilidades tecnológicas Experiencia en Azure Database Management Conocimiento de la automatización de bases de datos a través de herramientas DevOps IaC Experiencia en administración de HDInsights o HortonWorks Comprensión profunda de situaciones herramientas y estrategias de gestión de Datalake Conocimiento de la gestión y automatización del entorno de ciencia de datos e IA a través de herramientas DevOps IaC Conocimiento de las técnicas de autorización RBAC basadas en Azure Active Directory para tecnologías DataLake Conocimiento en técnicas de data masking cifrado de datos y tokenización de datos Conocimiento básico de los conceptos de Azure Networking como Service Endpoints y Private Endpoints Conocimiento básico de la topología subyacente de Azure para solucionar problemas del comportamiento de los componentes administrados en la nube Contarás con el beneficio de un seguro de vida y accidentes Requisitos mínimos Conocimiento y experiencia general de Azure Experiencia en Ingeniería de plataformas de datos Experiencia diseñando y administrando soluciones basadas en Kubernetes y Containers AZ 103 Administrador de Microsoft Azure Examen AZ 900 Conceptos básicos de Microsoft Azure Otras certificaciones en la nube son muy deseables Inglés fluido tanto hablado como escrito Persona proactiva dispuesta a formar parte de un trabajo en equipo distribuido y ágil,data analyst
90,91,Cognodata,Analista datos ETL,"Madrid, Community of Madrid, Spain",Posted 1 day ago,4 applicants,Number of views 41 views,Entry level,51-200 employees,Management Consulting,DESCRIPCIÓN Empresa líder en el sector de Customer Science y en Marketing Automation dedicada a la generación de resultados de negocio mediante la gestión avanzada de la información de clientes liderando cambios del sector y mejora de su posición competitiva requiere para sus oficinas en Madrid Consultores as ETL Sus Principales Responsabilidades Serán Cargas transformación y procesos de auditoría de procesos y datos Realizar tablones de datos necesarios para la realización de modelos de Data Mining Desarrollo de scripts que permitan automatizar los procesos de un proyecto Extraer conclusiones de los análisis realizados para realizar recomendaciones de campañas precios etc Realización de Cuadros de Mando Data Marts cubos olap etc Coordinar la correcta ejecución y medición de las campañas diseñadas REQUISITOS MÍNIMOS SQL nivel avanzado Se realizará prueba de conocimientos SSIS nivel medio SSAS valorable Inglés alto Experiencia de al menos 2 años en BI Valorable otras herramientas de BI y o Big Data COMPETENCIAS proactividad organización tolerancia al estrés compromiso trabajo en equipo liderazgo capacidad analítica DETALLES CATEGORY Business management SUBCATEGORY Consultancy SECTOR Strategy and operations consultancy WORKDAY Full time PROFESSIONAL LEVEL Employee DEPARTAMENT Banking PUBLISHED 29 12 2020,data analyst
91,92,Banco Santander,ACMP Financial Control Junior Business Analyst SGT SCIB,"Madrid, Community of Madrid, Spain",Posted 1 day ago,86 applicants,Number of views 544 views,Entry level,10001+ employees,Banking,SGT is looking for a ACMP FINANCIAL CONTROL JUNIOR BUSINESS ANALYST based in our BOADILLA DEL MONTE office WHY YOU SHOULD CONSIDER THIS OPPORTUNITY Santander Global Technology SGT is the team of technology and operations at Santander We are convinced of the importance of technology that is aligned with the requirements of the business and that out work not only brings value to users people and communities but also fosters individual creativity Our team of over 2 000 people in 7 countries Spain Portugal UK USA Mexico Chile and Brazil develops and or implements financial solutions across a broad spectrum of technologies including Blockchain Big Data and Angular among others on all kinds of on premise and cloud based platforms Santander is proud of being an organization where there are equal opportunities regardless of gender identity culture and disability Our mission is to contribute to help more people and business prosper WHAT YOU WILL BE DOING As a ACMP Financial Control Junior Business Analyst your mission will be to is support the business team and adding value aligned with the strategy of Santander Bank We need someone like you to help us in different fronts Design implement application in several technologies and Hands on experience working under agile methodologies Assist in the analysis and design of new business processes around requirements definition information gathering and consistent documentation methodologies Facilitate Business Requirements gathering sessions with key stakeholders and subject matter experts developing high level and detailed business requirements as needed to support enhancements to business processes systems and or applications Consults and works closely with technical team members to ensure all requirements have been accurately addressed as well as supports the technical group during the design and development activities Coordinate updates to supporting documentation such as training processing procedures as part of the Software Development Lifecycle Participate in the development of test plans testing of changes and reviewing the results Participate in quality management reviews as outlined in the project work plan and in reviews of the designs prototypes and other project work products to ensure they fulfill the requirements Analyze methodologies for process improvements better utilization of resources product enhancements improved communications and faster issue resolution Must have the ability to research analyze make business decisions and defend recommendations at the highest management Desired Skills and Experience WHAT WE ARE LOOKING FOR EDUCATION Engineering or Economics Degree SKILLS KNOWLEDGE Demonstrated knowledge Agile Lean methodologies Experience in converting business requirements and functional requirements to use cases epics and user stories with acceptance criteria Demonstrated ability to quantify resource requirement 2 years of experience as Functional Analyst English MS Office applications JIRA Qlik Sense big Data Mindset of problem solving and analytical ability Adaptation to changes and effective results WHAT WE OFFER YOU Welcome to TheSantanderEffect Here with only a small action or a simple idea you can do great things We offer you the advantages and the means to contribute to the progress of more than 140 million people around the world These are the key factors that multiply the actions of all our employees Meaningful Impact Where the effect of your work makes a difference and helps people to prosper Personal and Professional Growth The chance to develop through world class training challenging work and different roles Respect Be part of an organization that cares about its people its wider community and the environment Co worker quality Work with inspiring professionals who are leaders in their field Global stability Work for a solid global organization that has successfully reinvented itself many times in its 160 year history,data analyst
92,93,Gestamp,Business Intelligence Senior Analyst,"Madrid, Community of Madrid, Spain",Posted 1 week ago,17 applicants,Number of views 117 views,Mid Senior level,10001+ employees,Automotive,Con presencia en más de 24 países Grupo Gestamp es una multinacional española dedicada al diseño desarrollo y fabricación de componentes metálicos para el automóvil El grupo está especializado en la creación de productos con un diseño innovador para conseguir vehículos cada vez más seguros y ligeros y por lo tanto mejores en relación al consumo de energía e impacto medioambiental El grupo cuenta en la actualidad con más de 100 plantas y 13 centros de I D y su plantilla es de más de 40 000 empleados Reportando al CDO del Grupo y con estrecha colaboración con la CTO office participará de forma activa en liderar los desarrollos necesarios para extraer datos de la correspondiente capa de la plataforma de datos de la compañía y así modelar y crear las diferentes necesidades de analítica que requiere la Organización Formación Grado Técnico o Superior Se valorarán positivamente estudios de postgrado en Data Analytics Business Intelligence Big Data o similares Requisitos De 3 a 5 años de experiencia en función similar Experiencia profesional liderando desarrollos de Power BI en entornos de infraestructura cloud fuentes diversas modelos de datos complejos Dominio de modelaje de datos para alimentación óptima de soluciones Power BI Dominio de lenguaje SQL para extracción de datos del layer gold en infraestructura cloud Azure Dominio de lenguaje DAX de Power BI Dominio de lenguaje M de Power Query Inglés B2 Se valorarán Conocimientos de otras tecnologías big data tipo Spark Big Query Se valorará positivamente conocimientos en lenguajes R o Python Experiencia con entorno SAPExperiencia en herramientas de apificación unificación de Informes Power BI Experiencia en entorno MS Azure,data analyst
93,94,Transcom,Data Engineer remote,"Madrid, Community of Madrid, Spain",Posted 4 weeks ago,5 applicants,Number of views 68 views,Associate,10001+ employees,Outsourcing/Offshoring,Transcom is a rapidly expanding global customer experience specialist with more than 50 service centers employing more than 30 000 people delivering services in 33 languages The company provides CRM solutions to clients in a wide range of industry sectors including telecommunications and e commerce travel and tourism retail financial services and utilities Transcom offers clients a broad array of relationship management services including among others inbound customer service outbound telemarketing debt collection and credit management services outsourcing of administrative tasks contract automation and legal services Client programs are tailor made and range from single applications to complex programs which are offered on a country specific or international basis in up to 33 languages More information can be found on www transcom com About the Job We are hiring data engineers who are passionate about building structured high quality data solutions We work with some of the largest industry leaders providing expert support in delivering better experiences for their customers Intelligent and insightful data solutions will be used to evolve our products and services to continuously improve our capabilities The person in this role will be located in Malaga but will the possibility to work remotely In Transcom you will join the Global Business Intelligence team a group of talented designers efficient developers and insightful product owners to help make an impact in the fastest growing area of the company What you will be focused on Taking ownership over the external facing data pipelines that are integral to our successOptimizing our offerings for efficiency and reliability at scaleIdentifying areas of architectural improvement to remove the potential for human errorCollaborating with product and engineering teams to create innovative solutions to challenging problemsBuilding out a testing framework to ensure up time and reliability of data pipelinesUnderstanding the analytics data we collect from our systems and how it relates to the business value being produced Formal Qualifications While the Data Engineer will be technically supervised and mentored by the BI Technical Team Lead the role requires that you are able to understand document design implement and troubleshoot solutions related to the Transcom BI portfolio as independently as possible As such the Data Engineer must learn and have a complete overview of the technical set up of the Transcom BI platform and connected applications and must also be able to deliver development tasks autonomously applying high standards of solution cleanliness Required Qualifications Degree in Computer Science or related fields Fluency in English is a must both written and spoken SQL knowledge is a must as well as other programming languages such as Python Java etc Experience in Cloud environments especially Google Cloud Platform Demonstrated experience with Apache Airflow and Apache Beam SDK is nice to have Experience with serverless databases such as Google BigQuery Exposure to traditional ETL tools like SAP Data Services REST API development experience Extended experience with different relational and columnar databases Experience with visualization tools Business Objects Looker Tableau others is nice to have Development practice following Agile methodology Self organized and responsible for task delivery guaranteeing excellent quality as well as delivery respecting deadlines Superb problem solving skills with an analytical and data driven mindset Excellent communication skills and a team player attitude Ability to work in a geographically and culturally diverse environment Ability to meet deadlines and work under pressure Ability to travel abroad if required and occasional off hours availability Who you are You don t like leaving questions unanswered and you love exploring understanding dataYou have relevant experience in creating pipelines for large data setsYou are familiar with ETL Tools such as SAP Data ServicesYou are passionate about crafting clean code and have a steady foundation in coding and building data pipelines especially in Python You love to be the bridge between engineering and analysis to have an impact on the productYou are interested in optimizing workflows and maintaining backend systemsYou seek to participate in continuous improvement efforts such as software development planning estimating developing testing We are proud to foster a workplace free from discrimination We truly believe that diversity of experience perspectives and the background will lead to a better environment for our employees and a better product for our users and our creators This is something we value deeply and we encourage everyone to be a part of the constantly evolving world of customer experience Sounds interesting Please send us your CV in English,data analyst
94,95,Zenith España,Data Manager Zenith,"Madrid, Community of Madrid, Spain",Posted 1 day ago,4 applicants,Number of views 39 views,Associate,51-200 employees,Marketing & Advertising,Company Description Zenith is The ROI Agency we succeed when our clients succeed We have a simple strategy motivate our people deliver great work and delight our clients Clients want to work with happy and motivated people We have a superb Talent team helping the agency recruit develop and retain the industry s best talent We re constantly striving to create a winning culture and we re delighted that 91 of our people would recommend us as a great place to work We are single mindedly focused on delivering great work We have a consistent track record of making our clients communications more effective Our goal is to achieve commercial marketing success We don t set out to win awards but see them as a function of great work Our greatest credential is our client list Every day we work on challenging business and communication issues in partnership with great client marketing teams We are proud to have worked with many of our clients for 10 years or more and are equally proud of our new relationships To learn more visitwww zenithmedia com Job Description Desde Zenith buscamos incorporar al equipo la figura de data Solutions su rol será el de coordinar la interlocución entre los equipos de las distintas cuentas de la agencia y sus clientes en lo relativo a la explotación de datos Esta posición de nueva creación será la encargada de apoyar a los equipos para crear propuestas de valor a través de las distintas soluciones de data del grupo y comunicarlas de manera eficaz a los clientes El requisito del puesto es tanto estratégico como táctico siendo capaz de mostrar una acción real y una activación clara en el data driven marketing Será necesario tener experiencia probada trabajando en alguna compañía de datos o tecnología Ha de ser conocedor del mercado martech y adtech con la capacidad de comprender el mundo de los medios digitales CRM onboarding y DMP o CDP Qualifications Conocimiento del mercado de datos publicitario y programático Capacidad de desarrollar una estrategia de datos en base a KPIs de negocio Presentar la estrategia de datos a los clientes ganar aceptación y desarrollar relaciones estratégicasTener capacidad para interpretar datos con el objetivo de tomar decisiones Interactuar con los proveedores de datos y el equipo de productos Experiencia en estrategia de marketing planificación y evaluación en múltiples sectores Estar familiarizado con el panorama de sistemas análisis y datos de CRMFamiliaridad con técnicas analíticas y de medición de medios Capacidad para establecer una visión de futuro liderar e inspirar en todos los niveles de una organización Fuertes habilidades de presentación y documentación Valorable haber cursado algún estudio de big data gestión de datos o similar Additional Information Acknowledge and commit to comply with our internal procedures intending to prevent bribery and corruptionShow special awareness and embrace our compliance culture especially in matters related to anti bribery and anti corruptionBe a role model and lead by example complying with the Business Unit internal procedures including those regarding the Bribery and Corruption Management Framework Summary Type Full timeFunction Analyst,data analyst
95,96,JLL,Data Analyst Intern,"Madrid, Community of Madrid, Spain",Posted 4 weeks ago,9 applicants,Number of views 58 views,Internship,10001+ employees,Real Estate,Sobre JLL Somos una firma de servicios profesionales especializada en el sector inmobiliario Ayudamos a organizaciones en todo el mundo a lograr sus aspiraciones invirtiendo en el sector inmobiliario Si estás buscando impulsar tu carrera JLL es el lugar perfecto Tendrás la oportunidad de innovar en uno de los negocios líder a nivel mundial poner esa experiencia en acción en proyectos emblemáticos además de participar en iniciativas innovadoras También harás conexiones profesionales duraderas compartiendo diferentes perspectivas y te sentirás inspirado por los mejores Conseguiremos sacar lo mejor de ti Logra tus aspiraciones únete a JLL Estamos buscando un becario a para nuestro departamento de operaciones Te integrarás en el departamento de operaciones de Corporate Solutions apoyando en la coordinación y gestión de los proyectos globales analizando y realizando seguimiento de los datos operativos e identificando oportunidades de sinergias entre las distintas áreas de la organización Qué implica esta posición Apoyarás en el análisis de datos relacionados y no relacionados Apoyarás en el desarrollo de la implantación de herramientas de gestión de proyectos y mejora de procesos internos Apoyarás en el seguimiento del desempeño de los equipos de proyecto en términos cuantitativos y cualitativos Cada día es diferente y en todas esas actividades te animamos a que muestres tu ingenio Se parece a ti Para aplicar necesitas ser tener Tienes la posibilidad de firmar un convenio en prácticas con la universidad escuela Tienes un nivel alto de inglés Se valorarán conocimientos de hojas de cálculo R Python y SQL Se valorarán conocimientos en herramientas de diseño como Illustrator Photoshop e In Design Lo que puedes esperar de nosotros Te integrarás en un cultura inclusiva y emprendedora Compartirás con gente como tu tanto local como globalmente la oportunidad de alcanzar grandes éxitos Nuestro programa de compensación refleja nuestro compromiso de ayudarte a lograr tus aspiraciones de carrera Te ofreceremos un salario competitivo y un interesante paquete de beneficios sociales Únete a nosotros para desarrollar tus fortalezas y disfrutar de una carrera repleta de experiencias variadas Imagina todo lo que JLL puede hacer por ti Envianos tu cv hoy JLL Privacy Notice Jones Lang LaSalle JLL together with its subsidiaries and affiliates is a leading global provider of real estate and investment management services We take our responsibility to protect the personal information provided to us seriously Generally the personal information we collect from you are for the purposes of processing in connection with JLL s recruitment process We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons We will then delete it safely and securely For more information about how JLL processes your personal data please view our Candidate Privacy Statement For additional details please see our career site pages for each country For employees in the United States please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here Jones Lang LaSalle JLL is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities If you need a reasonable accommodation because of a disability for any part of the employment process including the online application and or overall selection process you may email us at Accommodation Reques am jll com This email is only to request an accommodation Please direct any other general recruiting inquiries to our Contact Us page I want to work for JLL,data analyst
